Date,Commodity,NonComm Long,NonComm Short,NonComm Net
2025-03-04,Spring Wheat Mpls,16455,32740,-16285
2025-03-11,Spring Wheat Mpls,16018,39137,-23119
2025-03-18,Spring Wheat Mpls,20800,38572,-17772
2025-03-25,Spring Wheat Mpls,17779,37166,-19387
2025-04-01,Spring Wheat Mpls,18550,42914,-24364
2025-04-08,Spring Wheat Mpls,16507,41622,-25115
2025-04-15,Spring Wheat Mpls,14686,32376,-17690
2025-04-22,Spring Wheat Mpls,14600,30923,-16323
2025-04-29,Spring Wheat Mpls,14985,34648,-19663
2024-04-30,Sugar,199571,159266,40305
2024-05-07,Sugar,200063,171502,28561
2024-05-14,Sugar,209791,183900,25891
2024-05-21,Sugar,203079,194658,8421
2024-05-28,Sugar,203331,198226,5105
2024-06-04,Sugar,193811,197851,-4040
2024-06-11,Sugar,194930,183860,11070
2024-06-18,Sugar,177819,159295,18524
2024-06-25,Sugar,180313,143126,37187
2024-07-02,Sugar,181116,116258,64858
2024-07-09,Sugar,175342,107323,68019
2024-07-16,Sugar,177958,110369,67589
2024-07-23,Sugar,177323,142078,35245
2024-07-30,Sugar,185165,148686,36479
2024-08-06,Sugar,186989,161174,25815
2024-08-13,Sugar,188878,154316,34562
2024-08-20,Sugar,188316,169012,19304
2024-08-27,Sugar,188930,141015,47915
2024-09-03,Sugar,185306,112504,72802
2024-09-10,Sugar,176409,113006,63403
2024-09-17,Sugar,174439,102189,72250
2024-09-24,Sugar,197713,82330,115383
2024-10-01,Sugar,230838,101377,129461
2024-10-08,Sugar,230158,127072,103086
2024-10-15,Sugar,233674,128201,105473
2024-10-22,Sugar,226981,133430,93551
2024-10-29,Sugar,222539,139696,82843
2024-11-05,Sugar,216399,138178,78221
2024-11-12,Sugar,213319,145197,68122
2024-11-19,Sugar,220130,148392,71738
2024-11-26,Sugar,224726,148632,76094
2024-12-03,Sugar,228964,140649,88315
2024-12-10,Sugar,237266,139939,97327
2024-12-17,Sugar,221468,153285,68183
2024-12-24,Sugar,225306,165212,60094
2024-12-31,Sugar,228766,183647,45119
2025-01-07,Sugar,232677,182850,49827
2025-01-14,Sugar,228583,214421,14162
2025-01-21,Sugar,231219,262686,-31467
2025-01-28,Sugar,230941,260375,-29434
2025-02-04,Sugar,227314,260423,-33109
2025-02-11,Sugar,231941,258467,-26526
2025-02-18,Sugar,205612,226319,-20707
2025-02-25,Sugar,206226,172735,33491
2025-03-04,Sugar,191009,165000,26009
2025-03-11,Sugar,184219,175480,8739
2025-03-18,Sugar,189131,157329,31802
2025-03-25,Sugar,211369,159327,52042
2025-04-01,Sugar,212886,159813,53073
2025-04-08,Sugar,196237,151410,44827
2025-04-15,Sugar,188422,158608,29814
2025-04-22,Sugar,193078,159843,33235
2025-04-29,Sugar,196828,158063,38765
2024-04-30,Swiss Franc,11040,52826,-41786
2024-05-07,Swiss Franc,9237,51024,-41787
2024-05-14,Swiss Franc,6646,47753,-41107
2024-05-21,Swiss Franc,7688,48333,-40645
2024-05-28,Swiss Franc,8943,53309,-44366
2024-06-04,Swiss Franc,7751,53514,-45763
2024-06-11,Swiss Franc,7698,50561,-42863
2024-06-18,Swiss Franc,6474,43864,-37390
2024-06-25,Swiss Franc,6506,41563,-35057
2024-07-02,Swiss Franc,6179,49622,-43443
2024-07-09,Swiss Franc,5338,51426,-46088
2024-07-16,Swiss Franc,6491,56284,-49793
2024-07-23,Swiss Franc,5619,47856,-42237
2024-07-30,Swiss Franc,7514,42034,-34520
2024-08-06,Swiss Franc,9570,31643,-22073
2024-08-13,Swiss Franc,9155,30819,-21664
2024-08-20,Swiss Franc,7600,33314,-25714
2024-08-27,Swiss Franc,9873,34485,-24612
2024-09-03,Swiss Franc,8822,30704,-21882
2024-09-10,Swiss Franc,8082,29386,-21304
2024-09-17,Swiss Franc,8579,25687,-17108
2024-09-24,Swiss Franc,7501,26791,-19290
2024-10-01,Swiss Franc,6550,29404,-22854
2024-10-08,Swiss Franc,7619,30078,-22459
2024-10-15,Swiss Franc,6834,32995,-26161
2024-10-22,Swiss Franc,5789,38443,-32654
2024-10-29,Swiss Franc,7092,41090,-33998
2024-11-05,Swiss Franc,8107,38088,-29981
2024-11-12,Swiss Franc,5365,38059,-32694
2024-11-19,Swiss Franc,4036,41107,-37071
2024-11-26,Swiss Franc,4458,44134,-39676
2024-12-03,Swiss Franc,4874,45968,-41094
2024-12-10,Swiss Franc,4796,39788,-34992
2024-12-17,Swiss Franc,16872,38672,-21800
2024-12-24,Swiss Franc,12518,40900,-28382
2024-12-31,Swiss Franc,10507,43320,-32813
2025-01-07,Swiss Franc,7868,45756,-37888
2025-01-14,Swiss Franc,7557,46258,-38701
2025-01-21,Swiss Franc,6526,48363,-41837
2025-01-28,Swiss Franc,4996,47996,-43000
2025-02-04,Swiss Franc,5242,47500,-42258
2025-02-11,Swiss Franc,5553,44298,-38745
2025-02-18,Swiss Franc,7047,45406,-38359
2025-02-25,Swiss Franc,5019,44479,-39460
2025-03-04,Swiss Franc,5572,43347,-37775
2025-03-11,Swiss Franc,5129,42086,-36957
2025-03-18,Swiss Franc,4087,38462,-34375
2025-03-25,Swiss Franc,4178,41771,-37593
2025-04-01,Swiss Franc,4143,46907,-42764
2025-04-08,Swiss Franc,4348,34625,-30277
2025-04-15,Swiss Franc,5280,33864,-28584
2025-04-22,Swiss Franc,5322,30796,-25474
2025-04-29,Swiss Franc,5567,29881,-24314
2024-04-30,U.S. Dollar Index,33593,33628,-35
2024-05-07,U.S. Dollar Index,28881,27028,1853
2024-05-14,U.S. Dollar Index,29682,27247,2435
2024-05-21,U.S. Dollar Index,28292,24774,3518
2024-05-28,U.S. Dollar Index,28325,24151,4174
2024-06-04,U.S. Dollar Index,26803,21916,4887
2024-06-11,U.S. Dollar Index,26458,21445,5013
2024-06-18,U.S. Dollar Index,30205,12610,17595
2024-06-25,U.S. Dollar Index,31947,14425,17522
2024-07-02,U.S. Dollar Index,32776,16194,16582
2024-07-09,U.S. Dollar Index,30587,14379,16208
2024-07-16,U.S. Dollar Index,30327,11777,18550
2024-07-23,U.S. Dollar Index,30196,11976,18220
2024-07-30,U.S. Dollar Index,29973,13015,16958
2024-08-06,U.S. Dollar Index,30996,14860,16136
2024-08-13,U.S. Dollar Index,33686,15150,18536
2024-08-20,U.S. Dollar Index,35452,17861,17591
2024-08-27,U.S. Dollar Index,37377,18464,18913
2024-09-03,U.S. Dollar Index,34725,15296,19429
2024-09-10,U.S. Dollar Index,32116,11906,20210
2024-09-17,U.S. Dollar Index,15897,14099,1798
2024-09-24,U.S. Dollar Index,16524,15565,959
2024-10-01,U.S. Dollar Index,13829,13675,154
2024-10-08,U.S. Dollar Index,15016,16905,-1889
2024-10-15,U.S. Dollar Index,15352,17452,-2100
2024-10-22,U.S. Dollar Index,20118,19207,911
2024-10-29,U.S. Dollar Index,21825,20141,1684
2024-11-05,U.S. Dollar Index,20332,20237,95
2024-11-12,U.S. Dollar Index,22958,25270,-2312
2024-11-19,U.S. Dollar Index,22613,25326,-2713
2024-11-26,U.S. Dollar Index,22960,25759,-2799
2024-12-03,U.S. Dollar Index,21903,24957,-3054
2024-12-10,U.S. Dollar Index,22883,26107,-3224
2024-12-17,U.S. Dollar Index,25145,19504,5641
2024-12-24,U.S. Dollar Index,28539,22047,6492
2024-12-31,U.S. Dollar Index,26598,19721,6877
2025-01-07,U.S. Dollar Index,27958,19313,8645
2025-01-14,U.S. Dollar Index,29512,16783,12729
2025-01-21,U.S. Dollar Index,28811,13939,14872
2025-01-28,U.S. Dollar Index,25372,11172,14200
2025-02-04,U.S. Dollar Index,25203,10664,14539
2025-02-11,U.S. Dollar Index,26261,10965,15296
2025-02-18,U.S. Dollar Index,26729,9961,16768
2025-02-25,U.S. Dollar Index,25906,10174,15732
2025-03-04,U.S. Dollar Index,27785,13047,14738
2025-03-11,U.S. Dollar Index,27969,11134,16835
2025-03-18,U.S. Dollar Index,23657,16469,7188
2025-03-25,U.S. Dollar Index,22699,15231,7468
2025-04-01,U.S. Dollar Index,23640,16599,7041
2025-04-08,U.S. Dollar Index,15487,12574,2913
2025-04-15,U.S. Dollar Index,15722,13894,1828
2025-04-22,U.S. Dollar Index,18696,19670,-974
2025-04-29,U.S. Dollar Index,19093,19542,-449
2024-04-30,Wheat,120889,145345,-24456
2024-05-07,Wheat,122686,140471,-17785
2024-05-14,Wheat,132484,137899,-5415
2024-05-21,Wheat,130514,143036,-12522
2024-05-28,Wheat,127585,141978,-14393
2024-06-04,Wheat,121898,140019,-18121
2024-06-11,Wheat,111810,136836,-25026
2024-06-18,Wheat,117489,144059,-26570
2024-06-25,Wheat,119255,163787,-44532
2024-07-02,Wheat,130176,168866,-38690
2024-07-09,Wheat,131162,165948,-34786
2024-07-16,Wheat,127750,163817,-36067
2024-07-23,Wheat,130610,165225,-34615
2024-07-30,Wheat,128652,171910,-43258
2024-08-06,Wheat,122142,162527,-40385
2024-08-13,Wheat,125365,164270,-38905
2024-08-20,Wheat,134387,160093,-25706
2024-08-27,Wheat,139525,172206,-32681
2024-09-03,Wheat,134551,162293,-27742
2024-09-10,Wheat,126513,142816,-16303
2024-09-17,Wheat,124164,138353,-14189
2024-09-24,Wheat,121819,133909,-12090
2024-10-01,Wheat,122327,128459,-6132
2024-10-08,Wheat,111760,125258,-13498
2024-10-15,Wheat,108406,122120,-13714
2024-10-22,Wheat,111145,128227,-17082
2024-10-29,Wheat,106934,129825,-22891
2024-11-05,Wheat,104711,127252,-22541
2024-11-12,Wheat,105967,144496,-38529
2024-11-19,Wheat,116397,162436,-46039
2024-11-26,Wheat,119626,171818,-52192
2024-12-03,Wheat,125216,186753,-61537
2024-12-10,Wheat,126404,185694,-59290
2024-12-17,Wheat,126968,206308,-79340
2024-12-24,Wheat,132043,219309,-87266
2024-12-31,Wheat,136258,212722,-76464
2025-01-07,Wheat,138397,217871,-79474
2025-01-14,Wheat,138772,220981,-82209
2025-01-21,Wheat,138911,211920,-73009
2025-01-28,Wheat,133872,224983,-91111
2025-02-04,Wheat,130876,198231,-67355
2025-02-11,Wheat,132148,188089,-55941
2025-02-18,Wheat,127440,164212,-36772
2025-02-25,Wheat,109657,171708,-62051
2025-03-04,Wheat,116367,201209,-84842
2025-03-11,Wheat,120935,199008,-78073
2025-03-18,Wheat,116964,193443,-76479
2025-03-25,Wheat,121763,204311,-82548
2025-04-01,Wheat,119598,222398,-102800
2025-04-08,Wheat,119544,211468,-91924
2025-04-15,Wheat,116030,204356,-88326
2025-04-22,Wheat,114514,208483,-93969
2025-04-29,Wheat,114740,231548,-116808
